Year,Hectoliters
1822,57675
1823,61730
1824,58071
1825,71500
1826,48233
1827,68175
1828,82090
1829,65146
1830,61460
1831,64471
1832,61629
1833,77139
1834,77298
1835,69849
1836,79174
1837,67341
1838,79480
1839,91912
1840,85401
1841,72498
1842,62935
1843,71114
1844,86390
1845,89872
1846,88549
1847,81741
1848,87141
1849,100338
1850,106162
1851,102708
1852,101854
1853,147821
1854,145802
1855,134122
1856,149080
1857,130779
1858,84210
1859,123502
1860,151423
1861,149933
1862,162770
1863,190300
1864,183328
1865,154106
1866,182828
1867,209972
1868,230602
1869,245162
1870,246552
1871,277639
1872,307385
1873,337823
1874,226843
1875,219409
1876,210964
1877,207521
1878,175262
1879,175599
1880,194787
1881,203942
1882,203471
1883,196918
1884,177537
1885,177448
1886,200321
1887,198379
1888,208617
1889,234955
1890,214088
1891,223039
1892,212966
1893,209248
1894,213468
1895,221428
1896,200651
1897,206825
1898,218760
1899,198754
1900,209702
1901,159369
1902,200319
1903,208709
1904,154264
1905,148211
1906,161436
1907,142799
1908,129660
1909,129629
1910,153818
1911,124347
1912,130704
1913,133782
1914,104623
1915,105504
1916,150510
1917,99925
1918,106896
1919,197836
1920,105206
1921,85766
1922,80582
1923,82500
1924,153533
1925,159655
1926,159878
1927,154658
1928,153121
1929,164566
1930,163626
1931,151894
1932,129631
1933,159622
1934,144230
1935,154779
1936,215371
1937,239037
1938,190906
1939,205245
1940,242540
1941,78492
1942,53610
1943,87994
1944,131213
1945,116194
1946,145638
1947,148760
1948,133486
1949,160193
1950,180582
1951,229319
1952,165535
1953,196386
1954,221539
1955,242054
1956,259182
1957,268476
1958,263617
1959,297686
1960,329643
1961,367127
1962,385622
1963,416960
1964,445078
1965,478516
1966,516212
1967,592375
1968,661867
1969,695129
1970,731064
1971,935192
1972,1257268
1973,1221266
1974,930513
1975,957967
1976,1176556
1977,1276889
1978,1372915
1979,1519677
1980,1282837
1981,1235131
1982,1122324
1983,1267811
1984,1114691
1985,1314436
1986,1086376
1987,1013442
1988,1002614
1989,785903
1990,910462
1991,867919
1992,919285
1993,759769
1994,792641
1995,823996
1996,736470
1997,659384
1998,670035
1999,599643
2000,580381
2001,568337
2002,550586
2003,518611
2004,493028
2005,466288
2006,422259
2007,410027
2008,373803
2009,338611
2010,334980
2011,304584
2012,298147
2013,268531
2014,251561
2015,243252
2016,223640
2017,206810
2018,188619
2019,190738
2020,188219
