Year,Country,Variety,Liters
2009,Spain,Manzanilla,7036935
2009,Spain,Fino,2775016
2009,Spain,Pale Cream,50628
2009,Spain,Amontillado,53986
2009,Spain,Medium,34707
2009,Spain,Oloroso,437151
2009,Spain,Cream,1535287
2009,Spain,Other,500854
2009,United Kingdom,Manzanilla,288770
2009,United Kingdom,Fino,1492237
2009,United Kingdom,Pale Cream,3332025
2009,United Kingdom,Amontillado,2407835
2009,United Kingdom,Medium,324489
2009,United Kingdom,Oloroso,121909
2009,United Kingdom,Cream,5880133
2009,United Kingdom,Other,86864
2009,Netherlands,Manzanilla,431297
2009,Netherlands,Fino,3248385
2009,Netherlands,Pale Cream,1967
2009,Netherlands,Amontillado,6362
2009,Netherlands,Medium,4426765
2009,Netherlands,Oloroso,7289
2009,Netherlands,Cream,537429
2009,Netherlands,Other,106529
2009,Germany,Manzanilla,33542
2009,Germany,Fino,914020
2009,Germany,Pale Cream,18627
2009,Germany,Amontillado,54515
2009,Germany,Medium,2712598
2009,Germany,Oloroso,112147
2009,Germany,Cream,626939
2009,Germany,Other,229449
2009,United States,Manzanilla,28187
2009,United States,Fino,178285
2009,United States,Pale Cream,540
2009,United States,Amontillado,114420
2009,United States,Medium,182814
2009,United States,Oloroso,9159
2009,United States,Cream,1087396
2009,United States,Other,34218
2009,Belgium,Manzanilla,53146
2009,Belgium,Fino,1293629
2009,Belgium,Pale Cream,2954
2009,Belgium,Amontillado,13217
2009,Belgium,Medium,180479
2009,Belgium,Oloroso,5010
2009,Belgium,Cream,25045
2009,Belgium,Other,2862
2009,Sweden,Manzanilla,15818
2009,Sweden,Fino,9071
2009,Sweden,Pale Cream,0
2009,Sweden,Amontillado,153976
2009,Sweden,Medium,65113
2009,Sweden,Oloroso,27481
2009,Sweden,Cream,156706
2009,Sweden,Other,368
2009,Canada,Manzanilla,473
2009,Canada,Fino,27189
2009,Canada,Pale Cream,11453
2009,Canada,Amontillado,3555
2009,Canada,Medium,71924
2009,Canada,Oloroso,995
2009,Canada,Cream,223120
2009,Canada,Other,3782
2009,Denmark,Manzanilla,1419
2009,Denmark,Fino,58271
